Gene 1,Gene 2,Weight,Network group,cluster
SNTB2,DMD,0.001114014,Predicted,2,
SNTB2,HCN1,0.001215487,Predicted,2,
SNTB2,NR2E1,0.001135238,Predicted,2,
SNTB2,ITPR3,0.001155415,Predicted,2,
ATP2A2,ATP2B1,0.00265224,Predicted,2,
ATP2A2,BCL11A,0.000823297,Predicted,2,
ATP2A2,BCL11B,0.00064134,Predicted,2,
ATP2A2,RUNX2,0.000493053,Predicted,2,
ATP2A2,CACNA1C,0.001034558,Predicted,2,
ATP2A2,SKI,0.000721493,Predicted,2,
RYR3,KCNH7,0.008368914,Predicted,2,
BCL11B,BCL11A,0.002905683,Predicted,2,
ZEB2,SATB2,0.001858322,Predicted,2,
ZEB2,BCL11A,0.002175191,Predicted,2,
ZEB2,BCL11B,0.002050414,Predicted,2,
EPHA6,ROBO2,0.004061608,Predicted,2,
PLK2,HUNK,0.002940616,Predicted,2,
GRIA1,GRIN2A,0.03057206,Predicted,2,
ADGRB2,ADGRL2,0.020996926,Predicted,2,
HCN1,KCNH7,0.009501993,Predicted,2,
HCN1,RYR3,0.008040648,Predicted,2,
HCN1,GRIA1,0.006988024,Predicted,2,
SNTB1,ACAP2,0.00293705,Predicted,2,
CACNA1C,KCNH7,0.007669807,Predicted,2,
CACNA1C,RYR3,0.011847284,Predicted,2,
CACNA1C,DMD,0.005456724,Predicted,2,
CACNA1C,HCN1,0.008927432,Predicted,2,
ISL1,SATB2,0.003814477,Predicted,2,
DRP2,DMD,0.014318624,Predicted,2,
NR2F6,NR2E1,0.022446211,Predicted,2,
ITPR3,KCNH7,0.008261275,Predicted,2,
ITPR3,RYR3,0.010753431,Predicted,2,
ITPR3,HCN1,0.009738655,Predicted,2,
ITPR3,CACNA1C,0.010100356,Predicted,2,
SKI,RUNX2,0.010080687,Predicted,2,
AKAP6,DMD,0.031970393,Predicted,2,
AKAP6,DRP2,0.042794686,Predicted,2,
SNTB2,ACAP2,0.002483403,Predicted,2,
SNTB2,SNTB1,0.004466957,Predicted,2,
ATP2A2,ATP2B1,0.023509145,Predicted,2,
BCL11B,BCL11A,0.003449128,Shared protein domains,2,
HIVEP2,BCL11A,0.003449128,Shared protein domains,2,
HIVEP2,BCL11B,0.003502736,Shared protein domains,2,
PLK2,HUNK,0.005724974,Shared protein domains,2,
GRIA1,GRIN2A,0.023170847,Shared protein domains,2,
ADGRB2,ADGRL2,0.019890184,Shared protein domains,2,
HCN1,KCNH7,0.02502782,Shared protein domains,2,
CACNA1C,HCN1,0.006847295,Shared protein domains,2,
DRP2,DMD,0.03990149,Shared protein domains,2,
NR2F6,NR2E1,0.028295105,Shared protein domains,2,
ITPR3,RYR3,0.057682566,Shared protein domains,2,
ITPR3,CACNA1C,0.009451461,Shared protein domains,2,
AKAP6,DMD,0.022145407,Shared protein domains,2,
AKAP6,DRP2,0.03164723,Shared protein domains,2,
SNTB2,SNTB1,0.036459196,Shared protein domains,2,
ATP2A2,ATP2B1,0.030558946,Shared protein domains,2,
RELN,KCNC1,0.022840865,Co-expression,3,
GRIK1,ELAVL2,0.007451844,Co-expression,3,
GAD1,NXPH1,0.007569155,Co-expression,3,
GAD1,KCNC1,0.009921808,Co-expression,3,
SLC6A1,NXPH1,0.005485841,Co-expression,3,
SLC6A1,KCNC1,0.007656607,Co-expression,3,
SLC6A1,GAD1,0.004896496,Co-expression,3,
ROBO1,ELAVL2,0.009615178,Co-expression,3,
GAD2,NXPH1,0.012232497,Co-expression,3,
GAD2,ELAVL2,0.009091575,Co-expression,3,
GAD2,GRIK1,0.009799376,Co-expression,3,
GAD2,GAD1,0.009723626,Co-expression,3,
GAD2,SLC6A1,0.005744604,Co-expression,3,
CADPS,NXPH1,0.005505158,Co-expression,3,
CADPS,ELAVL2,0.004700068,Co-expression,3,
CADPS,KCNC1,0.007632063,Co-expression,3,
CADPS,GRIK1,0.005385761,Co-expression,3,
CADPS,GAD1,0.00446671,Co-expression,3,
CADPS,SLC6A1,0.003663858,Co-expression,3,
CBLN1,GRIA4,0.015995516,Co-expression,3,
SGCD,VLDLR,0.015188597,Co-expression,3,
NRG3,SST,0.014797436,Co-expression,3,
EFNB3,SLC4A3,0.02018927,Co-expression,3,
NXPH1,CACNA2D2,0.014569932,Co-expression,3,
GRIK1,CIT,0.013715817,Co-expression,3,
SLC6A1,NPAS3,0.00973615,Co-expression,3,
SLC6A1,ELAVL2,0.011761044,Co-expression,3,
SLC6A1,CIT,0.00988734,Co-expression,3,
SLC6A1,GRIK1,0.004454116,Co-expression,3,
SST,NXPH1,0.005106058,Co-expression,3,
SST,GAD1,0.006573835,Co-expression,3,
GAD2,GAD1,0.012854858,Co-expression,3,
MEF2C,SLC4A3,0.010123568,Co-expression,3,
CADPS,SLC4A3,0.002573596,Co-expression,3,
CADPS,ELAVL2,0.007897517,Co-expression,3,
CADPS,CIT,0.006620114,Co-expression,3,
CADPS,GRIK1,0.002986465,Co-expression,3,
CADPS,SLC6A1,0.002193363,Co-expression,3,
CBLN1,NPAS3,0.026316306,Co-expression,3,
CBLN1,SST,0.008671593,Co-expression,3,
PTPRT,ADARB2,0.022430932,Co-expression,3,
PTPRT,CIT,0.024605198,Co-expression,3,
NRG3,CADPS,0.007340064,Co-expression,3,
EFNB3,ASTN2,0.009079615,Co-expression,3,
EFNB3,SST,0.003535133,Co-expression,3,
EFNB3,CADPS,0.002368838,Co-expression,3,
SLIT1,ADARB2,0.014817215,Co-expression,3,
KCNC2,NRXN3,0.011800413,Co-expression,3,
GAD1,NRXN3,0.013252479,Co-expression,3,
GAD1,KCNC2,0.005625618,Co-expression,3,
GAD1,KCNC1,0.011580389,Co-expression,3,
SLC6A1,KCNC2,0.010019407,Co-expression,3,
SLC6A1,GAD1,0.011266587,Co-expression,3,
GRIA4,GRIK1,0.021766547,Co-expression,3,
CADPS,NRXN3,0.01072042,Co-expression,3,
CADPS,KCNC2,0.004460897,Co-expression,3,
CADPS,GRIK1,0.007989537,Co-expression,3,
CADPS,GAD1,0.004985431,Co-expression,3,
CADPS,SLC6A1,0.009141138,Co-expression,3,
CADPS,GRIA4,0.009319266,Co-expression,3,
MYLK2,MAF,0.00772561,Co-expression,3,
EFNB3,SLC4A3,0.014707739,Co-expression,3,
KCNC2,NRXN3,0.010351658,Co-expression,3,
GAD1,NRXN3,0.00985641,Co-expression,3,
GAD1,KCNC2,0.003759551,Co-expression,3,
SLC6A1,KCNC2,0.010232127,Co-expression,3,
SLC6A1,GAD1,0.009516596,Co-expression,3,
GRIA4,GAD1,0.007655279,Co-expression,3,
GAD2,NXPH1,0.015873304,Co-expression,3,
GAD2,GRIA4,0.01305191,Co-expression,3,
CADPS,NRXN3,0.014375398,Co-expression,3,
CADPS,KCNC2,0.004910415,Co-expression,3,
CADPS,GAD1,0.004665358,Co-expression,3,
CADPS,SLC6A1,0.013497333,Co-expression,3,
CBLN1,NXPH1,0.016269388,Co-expression,3,
CBLN1,CIT,0.013721325,Co-expression,3,
CBLN1,KCNC1,0.016671576,Co-expression,3,
CBLN1,GAD2,0.009051262,Co-expression,3,
ELAVL2,NXPH1,0.004417862,Co-expression,3,
CIT,NXPH1,0.009511646,Co-expression,3,
GAD1,GRIK1,0.00675165,Co-expression,3,
SLC6A1,GAD1,0.004396904,Co-expression,3,
GAD2,NXPH1,0.005317179,Co-expression,3,
GAD2,ELAVL2,0.006504742,Co-expression,3,
GAD2,CIT,0.01288221,Co-expression,3,
GAD2,GRIK1,0.008428708,Co-expression,3,
CADPS,GAD1,0.007158121,Co-expression,3,
CADPS,SLC6A1,0.006439751,Co-expression,3,
CBLN1,GRIK1,0.011530058,Co-expression,3,
CBLN1,GAD2,0.008096945,Co-expression,3,
NRG3,SGCD,0.019136544,Co-expression,3,
EFNB3,NXPH1,0.008094346,Co-expression,3,
EFNB3,SST,0.012214315,Co-expression,3,
EFNB3,GAD2,0.011483055,Co-expression,3,
SGCB,GAD2,0.011959548,Co-expression,3,
GRIA4,ELAVL2,0.009183019,Co-expression,3,
GAD2,ELAVL2,0.010930622,Co-expression,3,
CADPS,ELAVL2,0.012414234,Co-expression,3,
CADPS,GRIK1,0.014446656,Co-expression,3,
CADPS,GRIA4,0.022533458,Co-expression,3,
CBLN1,RELN,0.016245365,Co-expression,3,
NRG3,ELAVL2,0.006625809,Co-expression,3,
NRG3,GAD2,0.011777954,Co-expression,3,
NRG3,CADPS,0.013729416,Co-expression,3,
SGCB,ROBO1,0.01320988,Co-expression,3,
UFC1,SGCB,0.009316855,Co-expression,3,
ELAVL2,NXPH1,0.005062815,Co-expression,3,
CIT,NXPH1,0.006734693,Co-expression,3,
GRIA4,ELAVL2,0.019219067,Co-expression,3,
ROBO1,MAF,0.010713839,Co-expression,3,
GAD2,NXPH1,0.004995419,Co-expression,3,
GAD2,ELAVL2,0.014429771,Co-expression,3,
SGCD,MEF2C,0.02646758,Co-expression,3,
GRIK1,ELAVL2,0.010897619,Co-expression,3,
GAD1,NRXN3,0.011570788,Co-expression,3,
GAD1,ADARB2,0.008088177,Co-expression,3,
GAD1,KCNC1,0.010873575,Co-expression,3,
GRIA4,KCNC1,0.011947425,Co-expression,3,
GRIA4,RELN,0.010388463,Co-expression,3,
CADPS,ELAVL2,0.008989032,Co-expression,3,
CBLN1,PTCHD4,0.01241524,Co-expression,3,
CBLN1,ASTN2,0.011978398,Co-expression,3,
CBLN1,CACNA2D2,0.01107216,Co-expression,3,
CBLN1,RELN,0.012304239,Co-expression,3,
CBLN1,GRIA4,0.00674142,Co-expression,3,
PTPRT,CADPS,0.007499629,Co-expression,3,
NRG3,KCNC2,0.013970959,Co-expression,3,
EFNB3,SLC6A1,0.021868551,Co-expression,3,
EFNB3,ROBO1,0.019077929,Co-expression,3,
SST,NXPH1,0.008962712,Co-expression,3,
GAD2,ELAVL2,0.002619777,Co-expression,3,
MEF2C,MAF,0.012372702,Co-expression,3,
CADPS,ELAVL2,0.009260355,Co-expression,3,
CADPS,GAD2,0.011682373,Co-expression,3,
VLDLR,ROBO1,0.017104791,Co-expression,3,
SGCD,VLDLR,0.010990379,Co-expression,3,
NRG3,ELAVL2,0.003391294,Co-expression,3,
NRG3,CADPS,0.015120446,Co-expression,3,
GAD1,ELAVL2,0.019970797,Co-expression,3,
ERBB4,MAF,0.005325802,Co-expression,3,
GRIA4,MAF,0.007260504,Co-expression,3,
CADPS,GAD2,0.012117212,Co-expression,3,
VLDLR,GAD1,0.021918897,Co-expression,3,
NRG3,SST,0.012693923,Co-expression,3,
GAD2,ELAVL2,0.023301804,Co-expression,3,
MEF2C,NXPH1,0.013947823,Co-expression,3,
SLC6A1,ELAVL2,0.023666857,Co-expression,3,
ERBB4,CIT,0.012444281,Co-expression,3,
CBLN1,GRIA4,0.019171888,Co-expression,3,
LRRFIP1,AHR,0.010166275,Co-expression,3,
SGCB,MAF,0.013227277,Co-expression,3,
GAD1,NXPH1,0.019193519,Co-expression,3,
MEF2C,MAF,0.013331864,Co-expression,3,
SGCD,CADPS,0.015093885,Co-expression,3,
SGCB,MAF,0.010384918,Co-expression,3,
GAD1,KCNC1,0.01131514,Co-expression,3,
ERBB4,MAF,0.011799265,Co-expression,3,
CBLN1,KCNC1,0.002098577,Co-expression,3,
CBLN1,SST,0.002600132,Co-expression,3,
NRG3,SLC4A3,0.021140818,Co-expression,3,
LRRFIP1,AHR,0.01632578,Co-expression,3,
EFNB3,KCNC1,0.00761237,Co-expression,3,
EFNB3,CBLN1,0.002631766,Co-expression,3,
SGCB,ROBO1,0.02051946,Co-expression,3,
MEF2C,SLC4A3,0.002821866,Co-expression,3,
MEF2C,GRIA4,0.004519213,Co-expression,3,
CADPS,GAD1,0.00661218,Co-expression,3,
CADPS,SLC6A1,0.008353604,Co-expression,3,
GAD2,SLC6A1,0.010845409,Co-expression,3,
GAD2,ROBO1,0.006296527,Co-expression,3,
UFC1,SGCB,0.008912042,Co-expression,3,
GRIK1,NXPH1,0.013422778,Co-expression,3,
CADPS,SLC6A1,0.011678338,Co-expression,3,
CIT,KCNC2,0.007600479,Co-localization,3,
GRIP1,SGCZ,0.013120456,Co-localization,3,
GAD1,ADARB2,0.022082848,Co-localization,3,
SLC6A1,ADARB2,0.00771427,Co-localization,3,
SLC6A1,GAD1,0.007752729,Co-localization,3,
GRIA4,ASTN2,0.011746042,Co-localization,3,
GRIA4,CACNA2D2,0.008559788,Co-localization,3,
GRIA4,SLC6A1,0.004665588,Co-localization,3,
GAD2,KCNC2,0.011340676,Co-localization,3,
GAD2,SLC6A1,0.008343838,Co-localization,3,
CADPS,CACNA2D2,0.007690929,Co-localization,3,
CADPS,SLC6A1,0.004303524,Co-localization,3,
SGCB,LRRFIP1,0.011105547,Co-localization,3,
CIT,CACNA2D2,0.017771678,Co-localization,3,
SLC6A1,RELN,0.01457477,Co-localization,3,
SLC6A1,GAD1,0.005377363,Co-localization,3,
ERBB4,KCNC2,0.013190163,Co-localization,3,
GRIA4,GAD1,0.006894873,Co-localization,3,
GRIA4,SLC6A1,0.00667857,Co-localization,3,
GAD2,CACNA2D2,0.00652693,Co-localization,3,
GAD2,CIT,0.006851987,Co-localization,3,
GAD2,GAD1,0.004153385,Co-localization,3,
GAD2,SLC6A1,0.003925933,Co-localization,3,
GAD2,GRIA4,0.005027921,Co-localization,3,
CADPS,RELN,0.009225895,Co-localization,3,
WWOX,SGCZ,0.027572086,Co-localization,3,
EFNB3,CIT,0.011862901,Co-localization,3,
EFNB3,GAD1,0.006887479,Co-localization,3,
EFNB3,SLC6A1,0.006635459,Co-localization,3,
EFNB3,GAD2,0.005228425,Co-localization,3,
SGCB,LRRFIP1,0.01715228,Co-localization,3,
CIT,CACNA2D2,0.008960563,Other,3,
KCNC1,CIT,0.015531863,Other,3,
RELN,CIT,0.01459947,Other,3,
RELN,KCNC1,0.025015283,Other,3,
ROBO1,CACNA2D2,0.008117078,Other,3,
AHR,GAD2,0.004889501,Other,3,
LRP8,CIT,0.012107786,Other,3,
EFNB3,LRP8,0.011549722,Other,3,
SLIT1,SLC6A1,0.017657073,Other,3,
GAD2,GAD1,1.0,Physical Interactions,3,
MEF2C,CIT,0.47018704,Physical Interactions,3,
WWOX,ERBB4,1.0,Physical Interactions,3,
CBLN1,NRXN3,0.6094044,Physical Interactions,3,
VLDLR,RELN,0.8995868,Physical Interactions,3,
MSL1,CADPS,0.76536685,Physical Interactions,3,
SESTD1,CADPS,0.5641417,Physical Interactions,3,
MYLK2,MEF2C,0.47018704,Physical Interactions,3,
PTPRT,NRXN3,0.25876433,Physical Interactions,3,
ACLY,MEF2C,0.47018704,Physical Interactions,3,
AHR,MAF,0.48034996,Physical Interactions,3,
SMARCA5,MAF,0.40882352,Physical Interactions,3,
LRRFIP1,GRIP1,0.25887498,Physical Interactions,3,
EFNB3,GRIP1,0.15709725,Physical Interactions,3,
IRF3,GRIP1,0.26984262,Physical Interactions,3,
UFC1,MEF2C,0.21288042,Physical Interactions,3,
GAD2,GAD1,1.0,Physical Interactions,3,
WWOX,ERBB4,0.40225875,Physical Interactions,3,
CBLN1,NRXN3,0.6501152,Physical Interactions,3,
VLDLR,RELN,0.24514857,Physical Interactions,3,
MYLK2,MEF2C,0.467246,Physical Interactions,3,
PTPRT,NRXN3,0.2764158,Physical Interactions,3,
AHR,MAF,0.1867652,Physical Interactions,3,
SMARCA5,MAF,0.2042818,Physical Interactions,3,
NRG3,ERBB4,0.7857899,Physical Interactions,3,
LRP8,RELN,0.54158676,Physical Interactions,3,
LRRFIP1,GRIP1,0.16853155,Physical Interactions,3,
EFNB3,RELN,0.1984023,Physical Interactions,3,
EFNB3,GRIP1,0.05781604,Physical Interactions,3,
EFNB3,VLDLR,0.17099907,Physical Interactions,3,
SGCB,SGCZ,0.42026886,Physical Interactions,3,
SGCB,SGCD,0.19023146,Physical Interactions,3,
SLIT1,ROBO1,0.5354386,Physical Interactions,3,
IRF3,GRIP1,0.08658845,Physical Interactions,3,
MEF2C,CIT,0.4472136,Physical Interactions,3,
MSL1,CADPS,0.76536685,Physical Interactions,3,
SESTD1,CADPS,0.5508359,Physical Interactions,3,
ACLY,MEF2C,0.4472136,Physical Interactions,3,
UFC1,MEF2C,0.4472136,Physical Interactions,3,
NRXN3,NPAS3,0.001291001,Predicted,3,
ASTN2,NRXN3,0.002192931,Predicted,3,
CACNA2D2,NPAS3,0.000540301,Predicted,3,
CACNA2D2,NRXN3,0.000934329,Predicted,3,
KCNC2,NRXN3,0.00261839,Predicted,3,
NXPH1,ADARB2,0.007616922,Predicted,3,
NXPH1,CACNA2D2,0.001198253,Predicted,3,
NXPH1,KCNC2,0.003761914,Predicted,3,
SLC4A3,NPAS3,0.002084448,Predicted,3,
SLC4A3,NRXN3,0.001841314,Predicted,3,
CIT,NPAS3,0.000775278,Predicted,3,
CIT,NRXN3,0.000440508,Predicted,3,
CIT,ADARB2,0.002608934,Predicted,3,
CIT,CACNA2D2,0.000753804,Predicted,3,
CIT,NXPH1,0.000999183,Predicted,3,
CIT,SLC4A3,0.001500702,Predicted,3,
KCNC1,NPAS3,0.00151781,Predicted,3,
KCNC1,NRXN3,0.001055299,Predicted,3,
KCNC1,CACNA2D2,0.000423447,Predicted,3,
KCNC1,SLC4A3,0.002912289,Predicted,3,
KCNC1,CIT,0.001147341,Predicted,3,
RELN,NPAS3,0.001004719,Predicted,3,
RELN,CACNA2D2,0.000724751,Predicted,3,
RELN,CIT,0.000923602,Predicted,3,
RELN,KCNC1,0.001736045,Predicted,3,
GRIP1,NRXN3,0.000708706,Predicted,3,
MAF,NPAS3,0.000462101,Predicted,3,
MAF,CACNA2D2,0.000442079,Predicted,3,
MAF,CIT,0.000432479,Predicted,3,
MAF,KCNC1,0.000545231,Predicted,3,
MAF,RELN,0.000667279,Predicted,3,
MAF,GRIP1,0.000674672,Predicted,3,
GAD1,NRXN3,0.010185964,Predicted,3,
GAD1,ADARB2,0.017423475,Predicted,3,
GAD1,NXPH1,0.006212859,Predicted,3,
SLC6A1,NPAS3,0.001528758,Predicted,3,
SLC6A1,NRXN3,0.004275243,Predicted,3,
SLC6A1,ASTN2,0.003820233,Predicted,3,
SLC6A1,CACNA2D2,0.00103284,Predicted,3,
SLC6A1,KCNC2,0.004181757,Predicted,3,
SLC6A1,NXPH1,0.001522414,Predicted,3,
SLC6A1,CIT,0.001456187,Predicted,3,
SLC6A1,KCNC1,0.001169656,Predicted,3,
SLC6A1,GAD1,0.005110104,Predicted,3,
GRIA4,NPAS3,0.00157572,Predicted,3,
GRIA4,NRXN3,0.002278629,Predicted,3,
GRIA4,ADARB2,0.002909205,Predicted,3,
GRIA4,ASTN2,0.002499609,Predicted,3,
GRIA4,CACNA2D2,0.000787262,Predicted,3,
GRIA4,NXPH1,0.00078267,Predicted,3,
GRIA4,CIT,0.000687808,Predicted,3,
GRIA4,KCNC1,0.000691211,Predicted,3,
GRIA4,GAD1,0.002936169,Predicted,3,
GRIA4,SLC6A1,0.004202464,Predicted,3,
ROBO1,NPAS3,0.000477269,Predicted,3,
ROBO1,NRXN3,0.000456486,Predicted,3,
ROBO1,CACNA2D2,0.000424642,Predicted,3,
ROBO1,NXPH1,0.000964981,Predicted,3,
ROBO1,CIT,0.000468115,Predicted,3,
ROBO1,KCNC1,0.00047979,Predicted,3,
ROBO1,RELN,0.000703823,Predicted,3,
ROBO1,GRIP1,0.000560665,Predicted,3,
ROBO1,MAF,0.000378759,Predicted,3,
ROBO1,SLC6A1,0.000803014,Predicted,3,
ROBO1,GRIA4,0.000515171,Predicted,3,
GAD2,NPAS3,0.000975895,Predicted,3,
GAD2,NRXN3,0.000825278,Predicted,3,
GAD2,ADARB2,0.001322168,Predicted,3,
GAD2,CACNA2D2,0.00050344,Predicted,3,
GAD2,KCNC2,0.001189648,Predicted,3,
GAD2,NXPH1,0.001473594,Predicted,3,
GAD2,SLC4A3,0.000918754,Predicted,3,
GAD2,CIT,0.000721337,Predicted,3,
GAD2,KCNC1,0.000603933,Predicted,3,
GAD2,RELN,0.000532859,Predicted,3,
GAD2,MAF,0.000331411,Predicted,3,
GAD2,GAD1,0.001424274,Predicted,3,
GAD2,SLC6A1,0.001652579,Predicted,3,
GAD2,GRIA4,0.000544296,Predicted,3,
GAD2,ROBO1,0.000471657,Predicted,3,
MEF2C,CACNA2D2,0.000415408,Predicted,3,
MEF2C,ELAVL2,0.004567329,Predicted,3,
MEF2C,CIT,0.000446808,Predicted,3,
MEF2C,KCNC1,0.000784739,Predicted,3,
MEF2C,MAF,0.000583563,Predicted,3,
CADPS,NPAS3,0.000599764,Predicted,3,
CADPS,NRXN3,0.001717108,Predicted,3,
CADPS,CACNA2D2,0.00073931,Predicted,3,
CADPS,KCNC2,0.001422723,Predicted,3,
CADPS,NXPH1,0.000541503,Predicted,3,
CADPS,SLC4A3,0.001188587,Predicted,3,
CADPS,CIT,0.000351593,Predicted,3,
CADPS,KCNC1,0.000757251,Predicted,3,
CADPS,GRIP1,0.000404176,Predicted,3,
CADPS,SLC6A1,0.002048188,Predicted,3,
CADPS,GRIA4,0.001455092,Predicted,3,
CADPS,ROBO1,0.000385287,Predicted,3,
CADPS,GAD2,0.000771538,Predicted,3,
CBLN1,NRXN3,0.000537571,Predicted,3,
CBLN1,CACNA2D2,0.000463335,Predicted,3,
CBLN1,CIT,0.000520699,Predicted,3,
CBLN1,KCNC1,0.000782267,Predicted,3,
CBLN1,RELN,0.000989165,Predicted,3,
CBLN1,MAF,0.0004887,Predicted,3,
CBLN1,GRIA4,0.000655178,Predicted,3,
CBLN1,ROBO1,0.000435022,Predicted,3,
CBLN1,GAD2,0.000317358,Predicted,3,
CBLN1,CADPS,0.00079226,Predicted,3,
VLDLR,NPAS3,0.000744687,Predicted,3,
VLDLR,CACNA2D2,0.000479732,Predicted,3,
VLDLR,CIT,0.000718361,Predicted,3,
VLDLR,KCNC1,0.001216186,Predicted,3,
VLDLR,RELN,0.004976022,Predicted,3,
VLDLR,MAF,0.000566734,Predicted,3,
VLDLR,SLC6A1,0.000935071,Predicted,3,
VLDLR,GRIA4,0.000550029,Predicted,3,
VLDLR,ROBO1,0.000609123,Predicted,3,
VLDLR,GAD2,0.000611372,Predicted,3,
VLDLR,CADPS,0.000322712,Predicted,3,
SESTD1,GRIP1,0.002146747,Predicted,3,
PTPRT,NRXN3,0.001537942,Predicted,3,
PTPRT,ADARB2,0.007169224,Predicted,3,
PTPRT,ASTN2,0.005862095,Predicted,3,
PTPRT,CACNA2D2,0.000846655,Predicted,3,
PTPRT,KCNC2,0.006416849,Predicted,3,
PTPRT,NXPH1,0.002873759,Predicted,3,
PTPRT,GAD1,0.008397234,Predicted,3,
PTPRT,GRIA4,0.00154127,Predicted,3,
PTPRT,GAD2,0.000886435,Predicted,3,
ACLY,MEF2C,0.008932031,Predicted,3,
ACLY,CADPS,0.000902989,Predicted,3,
AHR,NPAS3,0.000506459,Predicted,3,
AHR,CACNA2D2,0.000436048,Predicted,3,
AHR,NXPH1,0.000469553,Predicted,3,
AHR,CIT,0.00025173,Predicted,3,
AHR,KCNC1,0.000475875,Predicted,3,
AHR,MAF,0.00029402,Predicted,3,
AHR,ROBO1,0.000244474,Predicted,3,
AHR,GAD2,0.000435772,Predicted,3,
AHR,CADPS,0.000211555,Predicted,3,
AHR,VLDLR,0.000405112,Predicted,3,
AHR,ACLY,0.000937714,Predicted,3,
ADH6A,SGCZ,0.520639,Predicted,3,
SGCD,SGCZ,0.48167166,Predicted,3,
NRG3,NPAS3,0.000581028,Predicted,3,
NRG3,NRXN3,0.000786014,Predicted,3,
NRG3,ASTN2,0.002199292,Predicted,3,
NRG3,NXPH1,0.000921879,Predicted,3,
NRG3,GRIA4,0.000599095,Predicted,3,
NRG3,GAD2,0.000335968,Predicted,3,
NRG3,CADPS,0.000565131,Predicted,3,
NRG3,PTPRT,0.001771585,Predicted,3,
LRP8,NPAS3,0.000748017,Predicted,3,
LRP8,CACNA2D2,0.000571411,Predicted,3,
LRP8,NXPH1,0.000767987,Predicted,3,
LRP8,CIT,0.000662164,Predicted,3,
LRP8,KCNC1,0.00078547,Predicted,3,
LRP8,RELN,0.004958559,Predicted,3,
LRP8,MAF,0.000478865,Predicted,3,
LRP8,SLC6A1,0.000743271,Predicted,3,
LRP8,GRIA4,0.000501386,Predicted,3,
LRP8,ROBO1,0.000540907,Predicted,3,
LRP8,GAD2,0.000423874,Predicted,3,
LRP8,CADPS,0.000289516,Predicted,3,
LRP8,CBLN1,0.000510903,Predicted,3,
LRP8,VLDLR,0.000591252,Predicted,3,
LRP8,AHR,0.000411681,Predicted,3,
EFNB3,NRXN3,0.001029531,Predicted,3,
EFNB3,CACNA2D2,0.000596679,Predicted,3,
EFNB3,ROBO1,0.000725658,Predicted,3,
EFNB3,GAD2,0.00090824,Predicted,3,
EFNB3,CADPS,0.000647287,Predicted,3,
EFNB3,CBLN1,0.001088499,Predicted,3,
EFNB3,VLDLR,0.001157996,Predicted,3,
SGCB,SGCD,0.23306638,Predicted,3,
SLIT1,NPAS3,0.001889068,Predicted,3,
SLIT1,NRXN3,0.001101084,Predicted,3,
SLIT1,CACNA2D2,0.000667488,Predicted,3,
SLIT1,CIT,0.001128556,Predicted,3,
SLIT1,KCNC1,0.001095948,Predicted,3,
SLIT1,RELN,0.001597151,Predicted,3,
SLIT1,SLC6A1,0.001938365,Predicted,3,
SLIT1,GRIA4,0.001562577,Predicted,3,
SLIT1,ROBO1,0.003891207,Predicted,3,
SLIT1,GAD2,0.000565722,Predicted,3,
SLIT1,CADPS,0.001159721,Predicted,3,
SLIT1,CBLN1,0.001316435,Predicted,3,
SLIT1,VLDLR,0.00089613,Predicted,3,
SLIT1,LRP8,0.001131419,Predicted,3,
IRF3,CACNA2D2,0.000953596,Predicted,3,
UFC1,MEF2C,0.017445663,Predicted,3,
GRIA4,GRIP1,0.13779294,Predicted,3,
GAD2,GAD1,0.39850605,Predicted,3,
VLDLR,RELN,0.38526684,Predicted,3,
LRP8,RELN,0.23484261,Predicted,3,
KCNC1,ADARB2,0.012650182,Predicted,3,
GRIA4,GRIK1,0.010835098,Predicted,3,
ADH6A,SGCZ,0.020744756,Predicted,3,
SGCB,ADARB2,0.009491199,Predicted,3,
SGCB,KCNC1,0.017096011,Predicted,3,
KCNC1,KCNC2,0.007726455,Predicted,3,
GRIA4,GRIK1,0.022039292,Predicted,3,
ROBO1,ASTN2,0.005149885,Predicted,3,
GAD2,GAD1,0.13414462,Predicted,3,
CADPS,CIT,0.001841064,Predicted,3,
VLDLR,NRXN3,0.006101271,Predicted,3,
VLDLR,RELN,0.007664336,Predicted,3,
MYLK2,CIT,0.001925263,Predicted,3,
PTPRT,ASTN2,0.008430193,Predicted,3,
PTPRT,ROBO1,0.004601226,Predicted,3,
ACLY,MEF2C,0.11401843,Predicted,3,
AHR,NPAS3,0.006124053,Predicted,3,
SGCD,SGCZ,0.32518104,Predicted,3,
NRG3,NRXN3,0.008652485,Predicted,3,
NRG3,VLDLR,0.005889938,Predicted,3,
LRP8,NRXN3,0.006514229,Predicted,3,
LRP8,RELN,0.007737683,Predicted,3,
LRP8,VLDLR,0.005428934,Predicted,3,
LRP8,NRG3,0.006775874,Predicted,3,
SGCB,SGCZ,0.30440235,Predicted,3,
SGCB,SGCD,0.30275446,Predicted,3,
SLIT1,NRXN3,0.004475213,Predicted,3,
SLIT1,RELN,0.003639375,Predicted,3,
SLIT1,ROBO1,0.002392892,Predicted,3,
SLIT1,VLDLR,0.003168518,Predicted,3,
SLIT1,NRG3,0.004732335,Predicted,3,
SLIT1,LRP8,0.003245147,Predicted,3,
KCNC1,KCNC2,0.023574542,Shared protein domains,3,
GRIA4,GRIK1,0.026416,Shared protein domains,3,
GAD2,GAD1,0.125,Shared protein domains,3,
